N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
1017.0,TIMEFOLIO 글로벌우주테크&방산액티브,14095.0,상승  495,+3.64%,0.0,,,
1018.0,HL D&I,2155.0,보합0,0.00%,5000.0,15720.0,17243.0,507.0
1019.0,부산산업,77000.0,하락  900,-1.16%,5000.0,1405.0,2782.0,72.0
1020.0,팜스코,2210.0,하락  15,-0.67%,500.0,18545.0,11192.0,315.0
1021.0,코스맥스비티아이,8450.0,하락  80,-0.94%,500.0,6286.0,8783.0,202.0
1022.0,PLUS KOFR금리,106425.0,상승  15,+0.01%,0.0,,,
1023.0,써니전자,2200.0,하락  35,-1.57%,500.0,128.0,825.0,9.0
1024.0,티웨이홀딩스,718.0,하락  4,-0.55%,500.0,78.0,2154.0,-30.0
1025.0,미래에셋 -0.5X S&P500 VIX S/T선물 ETN(H),32010.0,상승  565,+1.80%,0.0,,,
1026.0,KODEX 글로벌비만치료제TOP2 Plus,10650.0,상승  70,+0.66%,0.0,,,
1027.0,CS홀딩스,69100.0,"하락  1,200",-1.71%,5000.0,1720.0,3839.0,191.0
1028.0,TIGER 미디어컨텐츠,5025.0,하락  60,-1.18%,0.0,,,
1029.0,ACE 미국30년국채선물레버리지(합성 H),5535.0,하락  115,-2.04%,0.0,,,
1030.0,남광토건,8100.0,보합0,0.00%,5000.0,5477.0,3773.0,43.0
1031.0,유니온,5100.0,하락  50,-0.97%,500.0,2246.0,3828.0,-20.0
1032.0,RISE 25-03 회사채(AA-이상)액티브,50730.0,상승  5,+0.01%,0.0,,,
1033.0,팜젠사이언스,4360.0,상승  15,+0.35%,500.0,1668.0,3359.0,91.0
1034.0,ACE 8월만기자동연장회사채AA-이상액티브,10370.0,상승  5,+0.05%,0.0,,,
1035.0,까뮤이앤씨,1324.0,상승  15,+1.15%,500.0,2788.0,2555.0,67.0
1036.0,이엔플러스,1078.0,상승  20,+1.89%,500.0,449.0,1722.0,-239.0
1037.0,사조씨푸드,4560.0,하락  20,-0.44%,1000.0,1760.0,3201.0,-348.0
1038.0,사조오양,8300.0,보합0,0.00%,5000.0,3915.0,3462.0,163.0
1039.0,PLUS 고배당주위클리커버드콜,9360.0,하락  155,-1.63%,0.0,,,
1040.0,신한 WTI원유 선물 ETN(H),7800.0,상승  100,+1.30%,0.0,,,
1041.0,TIGER 중국소비테마,5830.0,하락  5,-0.09%,0.0,,,
1042.0,삼호개발,3090.0,하락  20,-0.64%,500.0,3619.0,3284.0,105.0
1043.0,KODEX 헬스케어,16780.0,상승  40,+0.24%,0.0,,,
1044.0,TIGER 200선물레버리지,11305.0,상승  335,+3.05%,0.0,,,
1045.0,호전실업,7870.0,하락  50,-0.63%,500.0,4415.0,3160.0,351.0
1046.0,화승코퍼레이션,1532.0,하락  12,-0.78%,500.0,16341.0,11545.0,782.0
1047.0,NH프라임리츠,4100.0,상승  20,+0.49%,500.0,36.0,1065.0,32.0
1048.0,웅진,956.0,상승  89,+10.27%,500.0,10186.0,10271.0,224.0
1049.0,신송홀딩스,6420.0,상승  20,+0.31%,500.0,1934.0,2429.0,84.0
1050.0,삼성공조,9330.0,상승  90,+0.97%,500.0,1259.0,3134.0,54.0
1051.0,RISE 중기우량회사채,106530.0,상승  10,+0.01%,0.0,,,
1052.0,KODEX 배당가치,13215.0,상승  55,+0.42%,0.0,,,
1053.0,한신공영,6500.0,상승  30,+0.46%,5000.0,13090.0,24689.0,148.0
1054.0,ACE 미국30년국채액티브,10140.0,하락  80,-0.78%,0.0,,,
